,Gender,Customer Type,Age,Price,NewUsed,Category,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Satisfaction
0,Female,Premium,60.0,37.66,New,Entertainment,4,4,2,4,3,5,3,4,2,0,0,0
1,Female,Premium,57.0,331.9,New,Technology,1,1,3,5,5,5,4,5,5,0,0,1
2,Female,Premium,38.0,311.06,New,Technology,3,3,5,5,5,4,1,5,5,0,0,1
3,Male,Premium,43.923419078242226,85.14,New,Technology,5,5,3,2,5,4,5,1,3,0,0,0
4,Male,Premium,37.0,23.15,New,Entertainment,1,1,5,1,3,3,2,2,5,0,0,1
5,Female,Premium,58.0,86.06,New,Technology,3,3,4,5,5,5,5,1,4,0,0,1
6,Male,Premium,46.0,131.16,New,Entertainment,5,5,3,2,2,2,5,2,1,1,1,1
7,Male,Premium,68.0,353.95,New,Other,4,4,5,1,2,1,4,1,2,1,1,0
8,Female,Premium,31.0,87.41,New,Home/Kitchen,2,4,4,1,1,2,4,3,4,0,0,1
9,Male,Premium,64.0,61.17,New,Other,4,2,5,4,4,4,3,4,5,0,0,1
10,Female,Premium,51.0,163.84,New,Technology,4,4,3,5,5,5,5,5,5,0,0,1
11,Male,Not Premium,37.0,9.45,New,Technology,1,3,3,2,1,4,1,4,3,0,0,0
12,Male,Premium,36.0,85.18,New,Entertainment,4,5,4,4,4,4,4,5,4,0,0,0
13,Male,Premium,43.923419078242226,386.3,New,Other,4,4,3,4,4,4,3,4,3,0,0,0
14,Female,Premium,25.0,248.41,New,Entertainment,1,1,4,5,4,5,4,4,4,0,0,1
15,Male,Premium,24.0,47.32,New,Technology,4,4,1,3,3,4,3,4,1,0,0,1
16,Female,Premium,43.9097214811653,218.93,Used,Home/Kitchen,1,3,3,3,2,3,5,3,5,0,0,0
17,Male,Not Premium,38.0,17.8,New,Entertainment,2,4,5,1,5,4,1,4,5,0,0,0
18,Male,Premium,65.0,99.98,New,Technology,5,3,3,5,1,1,3,5,2,1,1,0
19,Male,Premium,66.0,262.63,New,Home/Kitchen,3,4,4,4,2,3,3,3,3,0,0,0
20,Female,Premium,43.0,285.95,New,Home/Kitchen,3,3,5,4,4,4,5,4,4,0,0,1
21,Female,Premium,34.0,208.75,New,Home/Kitchen,5,5,2,4,4,4,5,4,5,0,0,1
22,Male,Premium,59.0,86.26,New,Technology,5,3,5,5,5,5,4,5,3,0,0,1
23,Female,Not Premium,26.0,83.77,New,Sport,3,3,2,4,1,2,4,3,2,1,0,0
24,Male,Premium,33.0,94.54,New,Home/Kitchen,5,5,2,5,5,5,3,5,3,0,0,1
25,Male,Premium,43.923419078242226,40.14,New,Technology,3,3,4,3,2,4,3,4,4,0,0,0
26,Male,Premium,48.0,219.04,New,Entertainment,5,5,5,4,4,4,5,4,5,0,0,1
27,Female,Premium,27.0,59.68,New,Entertainment,4,5,3,5,4,5,5,4,3,0,0,0
28,Female,Not Premium,26.0,111.61,New,Technology,1,1,3,3,2,5,5,5,3,1,1,0
29,Male,Premium,54.0,75.38,New,Entertainment,2,3,3,4,2,4,1,4,3,0,0,0
30,Female,Premium,41.0,32.79,New,Home/Kitchen,3,3,3,2,2,4,3,3,3,1,1,0
31,Male,Premium,56.0,236.38,New,Entertainment,5,2,5,2,2,2,3,2,3,0,0,0
32,Male,Premium,23.0,255.58,New,Entertainment,0,3,3,5,4,1,3,4,3,0,0,1
33,Male,Premium,43.923419078242226,20.18,New,Entertainment,0,5,3,5,3,4,5,5,3,0,0,0
34,Female,Premium,43.9097214811653,158.74,New,Technology,1,3,2,4,1,3,4,3,2,0,0,0
35,Female,Premium,55.0,368.2,New,Entertainment,5,5,3,5,5,5,3,5,4,0,0,1
36,Female,Premium,51.0,33.78,New,Technology,1,1,4,5,3,2,1,3,4,0,0,1
37,Male,Premium,26.0,83.46,New,Home/Kitchen,1,1,1,1,3,3,2,4,1,0,0,0
