,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
0,4,4,2,4,3,5,3,4,2,0
1,1,1,3,5,5,5,4,5,5,1
2,3,3,5,5,5,4,1,5,5,1
3,5,5,3,2,5,4,5,1,3,0
4,1,1,5,1,3,3,2,2,5,1
5,3,3,4,5,5,5,5,1,4,1
6,5,5,3,2,2,2,5,2,1,1
7,4,4,5,1,2,1,4,1,2,0
8,2,4,4,1,1,2,4,3,4,1
9,4,2,5,4,4,4,3,4,5,1
10,4,4,3,5,5,5,5,5,5,1
12,4,5,4,4,4,4,4,5,4,0
13,4,4,3,4,4,4,3,4,3,0
14,1,1,4,5,4,5,4,4,4,1
15,4,4,1,3,3,4,3,4,1,1
16,1,3,3,3,2,3,5,3,5,0
18,5,3,3,5,1,1,3,5,2,0
19,3,4,4,4,2,3,3,3,3,0
20,3,3,5,4,4,4,5,4,4,1
21,5,5,2,4,4,4,5,4,5,1
22,5,3,5,5,5,5,4,5,3,1
24,5,5,2,5,5,5,3,5,3,1
25,3,3,4,3,2,4,3,4,4,0
26,5,5,5,4,4,4,5,4,5,1
27,4,5,3,5,4,5,5,4,3,0
29,2,3,3,4,2,4,1,4,3,0
30,3,3,3,2,2,4,3,3,3,0
31,5,2,5,2,2,2,3,2,3,0
32,0,3,3,5,4,1,3,4,3,1
33,0,5,3,5,3,4,5,5,3,0
34,1,3,2,4,1,3,4,3,2,0
35,5,5,3,5,5,5,3,5,4,1
36,1,1,4,5,3,2,1,3,4,1
37,1,1,1,1,3,3,2,4,1,0
39,5,1,2,3,5,5,3,5,2,0
40,4,4,4,5,5,5,5,5,3,1
43,1,1,2,4,4,4,3,4,4,1
44,3,3,3,5,5,5,5,5,3,1
45,4,1,4,3,5,4,5,5,4,0
46,3,3,3,4,4,4,4,4,5,1
47,4,4,2,4,4,4,2,4,3,1
48,4,4,5,5,5,5,3,5,5,1
49,3,3,1,2,2,4,3,4,1,0
50,4,4,3,4,4,4,4,4,3,1
51,3,4,2,1,4,1,2,1,2,0
52,1,1,4,5,5,5,5,5,3,1
53,1,1,5,1,1,3,1,2,5,1
54,4,3,2,1,1,2,1,3,2,1
55,5,5,1,3,3,2,2,3,1,0
56,3,3,2,3,1,4,2,4,2,0
57,5,5,5,5,5,5,5,5,4,1
58,3,3,3,5,5,5,5,5,2,1
59,1,1,5,5,4,5,3,5,5,1
60,5,1,2,5,5,5,3,4,2,0
61,1,1,5,4,4,3,3,4,5,0
63,4,4,5,3,4,4,3,4,5,0
64,3,3,5,4,4,4,3,4,5,1
65,3,3,3,4,4,4,5,4,3,1
66,5,4,5,5,2,5,4,4,5,0
67,2,2,2,4,4,4,1,4,1,1
68,3,3,4,2,2,2,4,1,4,1
71,4,1,3,5,5,5,4,5,3,0
72,5,5,5,2,2,2,4,2,4,1
73,3,2,3,3,2,3,3,3,4,0
74,5,5,5,4,4,4,4,4,4,1
76,4,4,3,2,2,2,4,2,3,0
77,1,1,4,4,2,3,5,1,4,1
79,1,1,4,5,3,4,4,4,4,1
81,1,1,4,4,4,4,2,4,4,1
82,5,5,4,3,5,5,4,5,4,1
84,4,4,3,2,3,2,3,2,1,0
85,2,2,2,3,2,3,4,3,4,0
86,5,1,5,1,1,1,1,1,1,0
87,5,4,5,2,3,4,2,1,5,0
89,4,2,5,4,5,4,4,5,5,0
90,0,4,3,3,5,4,4,4,3,0
91,4,4,3,5,5,5,3,5,4,1
92,3,3,2,1,4,3,2,3,2,0
93,5,1,1,3,2,4,5,5,1,0
94,5,5,2,4,4,4,4,4,3,1
95,5,1,4,5,2,4,5,5,4,0
96,2,2,3,4,4,4,1,4,4,0
97,3,3,3,1,2,1,4,1,2,0
98,4,4,3,4,4,4,5,4,5,1
99,2,2,5,4,4,4,3,4,4,1
100,4,4,4,4,5,4,1,3,4,0
101,4,4,2,4,4,4,5,4,4,1
102,4,1,3,4,4,2,1,4,3,0
103,2,2,4,3,2,5,4,5,4,1
104,5,4,3,5,4,5,1,5,3,0
105,2,3,4,4,3,3,2,3,4,0
106,3,3,2,4,2,2,2,4,3,0
107,3,3,5,5,5,5,3,5,3,1
108,2,3,3,3,4,5,2,3,4,0
109,5,5,5,2,2,2,5,2,5,1
111,2,2,4,3,5,4,1,4,4,0
112,4,1,2,5,4,4,5,5,2,1
113,4,4,5,4,4,4,5,4,3,1
114,5,5,5,3,5,5,5,5,5,1
115,2,2,2,1,1,1,4,1,1,0
116,3,3,4,3,2,3,3,2,4,1
117,5,5,2,5,5,5,5,5,3,1
118,2,2,2,5,4,5,4,5,4,0
120,3,3,3,5,5,5,3,5,5,1
121,5,3,5,2,2,2,3,2,4,0
122,3,3,4,3,2,4,2,1,4,1
124,5,5,4,4,4,4,2,4,4,0
125,1,1,1,5,5,5,2,5,1,1
126,1,1,5,4,4,4,1,4,4,0
127,4,2,4,3,3,5,4,5,4,0
128,4,2,2,3,4,2,3,2,2,0
129,2,2,2,4,4,4,5,4,4,1
130,4,4,1,4,3,2,2,4,1,1
131,3,3,4,1,5,3,2,2,2,0
132,5,5,1,1,1,1,4,1,4,0
133,4,5,3,3,4,4,3,3,3,0
134,5,3,5,5,4,5,3,5,5,0
136,5,1,5,2,1,1,3,1,5,0
137,4,3,3,5,3,5,4,5,3,0
138,2,3,2,3,3,2,3,1,3,0
139,1,1,5,4,4,5,1,3,5,1
140,5,5,3,3,3,4,1,4,3,0
141,4,1,2,3,2,5,3,5,2,0
142,2,2,1,5,5,5,5,5,5,1
144,4,3,1,4,5,4,5,5,1,0
145,5,5,1,3,2,2,1,3,1,0
146,2,2,3,5,5,5,3,5,5,1
147,2,4,4,3,2,3,2,4,4,0
148,4,3,2,4,1,4,1,4,4,1
149,4,2,4,2,5,5,4,4,4,1
150,3,4,3,2,3,2,1,2,4,0
151,3,3,2,4,4,4,4,4,4,1
152,5,4,2,5,4,5,3,5,2,0
155,1,1,5,4,4,4,4,4,5,1
156,3,5,5,5,2,1,3,2,5,0
157,1,1,3,4,4,4,3,4,3,1
158,5,5,2,4,0,2,5,4,4,0
159,5,2,5,4,5,5,4,5,5,1
160,1,3,1,2,2,2,1,2,2,0
161,1,1,4,5,3,5,5,5,4,1
162,4,4,2,3,4,4,5,4,2,1
163,2,3,5,1,5,4,3,3,5,0
164,3,3,5,2,4,3,3,3,5,1
166,1,1,4,4,4,4,3,4,3,1
167,2,5,5,4,4,4,4,4,5,1
168,3,3,5,1,1,1,3,1,4,1
169,4,4,4,4,5,5,4,4,4,1
170,3,3,3,5,5,5,3,5,2,1
171,5,1,5,4,2,2,1,5,5,0
172,4,2,2,1,1,4,4,3,2,0
174,1,1,1,1,1,1,4,1,2,0
175,1,4,4,5,5,4,4,5,4,1
178,5,4,2,5,4,5,4,4,2,0
179,2,2,2,3,3,2,1,3,2,0
180,5,3,4,4,5,5,5,5,4,0
181,5,1,1,5,5,5,4,4,1,0
182,1,1,3,2,2,2,3,2,5,1
183,3,2,5,5,5,5,4,5,4,1
184,5,5,2,3,3,4,3,3,3,0
185,5,3,1,1,3,5,4,3,1,0
186,4,4,3,1,2,1,4,1,4,0
187,2,4,2,1,4,1,4,1,1,0
188,4,4,2,2,3,2,5,2,4,0
189,1,1,3,4,4,4,4,4,4,1
190,4,5,3,2,1,2,3,2,1,0
191,2,2,5,4,1,1,3,3,5,1
193,2,3,1,4,2,4,4,4,4,0
194,4,3,5,1,3,1,3,1,5,0
195,1,3,4,5,1,2,4,5,2,0
196,0,3,2,1,1,1,5,1,4,1
197,1,3,3,4,4,4,4,4,3,0
198,3,3,2,5,4,5,1,5,3,1
200,1,1,1,5,5,5,1,5,5,1
201,5,4,4,5,4,5,4,5,4,0
202,4,3,3,5,3,5,2,5,1,0
203,4,4,5,3,2,5,4,5,5,1
204,4,2,2,3,3,4,3,5,2,0
205,1,1,1,2,2,2,2,2,3,0
206,3,3,3,4,4,4,3,4,5,1
207,3,3,4,5,3,5,4,5,3,0
208,5,5,3,4,5,4,3,4,5,1
209,1,1,1,1,5,3,4,3,1,0
210,3,1,3,3,5,4,4,1,3,0
211,5,3,1,4,1,3,3,3,1,1
212,1,1,4,5,5,5,4,5,3,1
213,3,3,5,1,1,1,5,5,5,1
214,0,3,3,4,0,2,2,4,3,0
216,2,2,1,4,2,3,4,3,1,0
217,5,5,5,1,3,1,4,1,5,1
218,2,2,5,3,3,3,3,3,1,0
219,5,5,4,4,3,2,4,1,4,0
220,3,3,3,2,3,4,1,3,3,0
221,2,2,3,2,4,4,3,2,3,0
222,5,5,2,4,4,4,5,4,3,1
223,5,5,1,3,3,3,2,3,4,0
226,2,2,5,4,4,5,3,4,5,1
227,3,4,4,3,4,4,2,3,4,0
228,5,2,4,4,2,5,5,5,4,0
229,1,1,5,5,5,5,3,5,3,1
230,4,3,5,4,5,3,4,4,5,0
231,2,2,3,5,5,5,4,5,5,1
232,3,3,4,5,5,4,3,5,4,1
233,5,5,3,5,5,5,4,5,5,1
236,2,2,5,5,5,5,4,5,5,1
237,3,3,4,5,5,5,5,5,3,1
238,2,2,3,4,5,3,1,4,3,0
239,4,4,3,4,4,4,3,4,4,1
240,4,4,4,3,4,4,4,5,4,0
241,5,2,1,4,4,3,5,3,1,0
242,3,3,2,4,2,2,3,3,2,0
244,2,2,4,2,1,2,2,2,2,0
245,5,4,4,4,2,2,3,4,3,0
246,5,5,2,5,5,5,4,5,4,1
247,2,2,2,3,3,3,3,3,4,0
248,2,3,1,1,3,3,3,4,1,0
249,1,1,3,5,5,5,5,5,3,1
250,2,2,3,4,4,4,4,4,4,1
251,1,4,4,2,1,3,3,3,4,0
252,5,5,3,5,5,5,4,5,4,1
254,5,2,3,1,2,1,4,1,3,0
255,5,2,5,5,3,4,5,5,5,0
256,5,5,4,5,4,1,4,1,4,1
257,5,3,2,3,2,3,3,3,5,0
258,5,3,5,1,4,1,3,1,4,1
259,3,3,5,3,2,3,4,3,3,0
260,4,4,2,1,4,4,4,4,2,0
261,5,2,2,5,3,5,3,4,2,0
262,4,4,1,1,2,1,2,1,1,0
263,5,2,3,3,2,3,3,3,5,0
264,4,4,2,3,3,3,4,3,3,0
266,1,1,3,3,2,5,4,5,3,1
267,3,3,5,3,3,4,3,4,5,0
268,3,3,2,4,4,4,5,4,3,1
269,1,1,3,5,5,5,4,5,3,1
270,5,3,4,3,5,4,4,4,4,0
271,5,3,4,5,2,2,4,5,1,0
272,5,3,4,5,3,5,5,5,5,0
275,3,3,2,5,5,5,4,5,4,1
276,1,1,3,5,5,5,4,5,3,1
277,3,4,5,1,5,1,4,1,5,0
279,5,5,1,5,5,5,3,5,4,1
281,4,4,3,2,1,5,2,3,3,1
282,4,3,3,5,5,4,5,5,5,1
284,1,1,4,4,1,2,5,4,4,1
285,3,4,1,2,5,5,3,5,1,0
286,4,3,1,4,1,4,3,4,1,1
287,2,2,5,2,3,5,1,4,5,1
288,5,4,2,5,2,5,5,5,2,0
289,3,2,5,3,2,2,4,1,5,0
290,5,3,4,5,2,5,2,4,4,0
291,5,5,5,5,5,5,4,5,2,1
292,4,1,5,3,3,3,5,3,4,0
293,5,2,1,5,3,5,3,4,1,0
294,3,5,3,2,3,3,2,5,3,0
295,2,2,2,4,4,4,2,4,5,1
296,2,2,4,4,3,4,4,5,4,1
297,1,1,4,3,4,3,5,3,4,1
299,5,1,4,1,5,1,2,2,4,0
300,2,2,4,1,4,3,4,5,4,1
301,3,3,1,5,2,2,5,5,1,0
302,5,5,2,3,3,5,5,4,2,1
