,Age,log_price,log_arrival_delays,Gender_Male,Customer Type_Premium,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
0,60.0,3.654805473780185,0.0,0,1,4,4,2,4,3,5,3,4,2,0
1,57.0,5.807842144580979,0.0,0,1,1,1,3,5,5,5,4,5,5,1
2,38.0,5.743195477013036,0.0,0,1,3,3,5,5,5,4,1,5,5,1
3,43.92341907824223,4.455973879625964,0.0,1,1,5,5,3,2,5,4,5,1,3,0
4,37.0,3.184284380098582,0.0,1,1,1,1,5,1,3,3,2,2,5,1
5,58.0,4.4665975361241514,0.0,0,1,3,3,4,5,5,5,5,1,4,1
6,46.0,4.884013309772668,0.6931471805599453,1,1,5,5,3,2,2,2,5,2,1,1
7,68.0,5.871976934485395,0.6931471805599453,1,1,4,4,5,1,2,1,4,1,2,0
8,31.0,4.481985085417713,0.0,0,1,2,4,4,1,1,2,4,3,4,1
9,64.0,4.129872568281246,0.0,1,1,4,2,5,4,4,4,3,4,5,1
10,51.0,5.1049753064706165,0.0,0,1,4,4,3,5,5,5,5,5,5,1
11,37.0,2.34660197841082,0.0,1,0,1,3,3,2,1,4,1,4,3,0
12,36.0,4.456438132187692,0.0,1,1,4,5,4,4,4,4,4,5,4,0
13,43.92341907824223,5.959199586520707,0.0,1,1,4,4,3,4,4,4,3,4,3,0
14,25.0,5.519098128673058,0.0,0,1,1,1,4,5,4,5,4,4,4,1
15,24.0,3.8778455536265595,0.0,1,1,4,4,1,3,3,4,3,4,1,1
16,43.9097214811653,5.393309313903605,0.0,0,1,1,3,3,3,2,3,5,3,5,0
17,38.0,2.9338568698359038,0.0,1,0,2,4,5,1,5,4,1,4,5,0
18,65.0,4.6149224774307696,0.6931471805599453,1,1,5,3,3,5,1,1,3,5,2,0
19,66.0,5.574546604953836,0.0,1,1,3,4,4,4,2,3,3,3,3,0
20,43.0,5.6593079845543715,0.0,0,1,3,3,5,4,4,4,5,4,4,1
21,34.0,5.345916345347316,0.0,0,1,5,5,2,4,4,4,5,4,5,1
22,59.0,4.468892167695464,0.0,1,1,5,3,5,5,5,5,4,5,3,1
23,26.0,4.439941706620314,0.0,0,0,3,3,2,4,1,2,4,3,2,0
24,33.0,4.559545007961816,0.0,1,1,5,5,2,5,5,5,3,5,3,1
25,43.92341907824223,3.716980884224811,0.0,1,1,3,3,4,3,2,4,3,4,4,0
26,48.0,5.393809348007257,0.0,1,1,5,5,5,4,4,4,5,4,5,1
27,27.0,4.105614154480332,0.0,0,1,4,5,3,5,4,5,5,4,3,0
28,26.0,4.723930521708934,0.6931471805599453,0,0,1,1,3,3,2,5,5,5,3,0
29,54.0,4.3357208817973705,0.0,1,1,2,3,3,4,2,4,1,4,3,0
30,41.0,3.5201649007261984,0.6931471805599453,0,1,3,3,3,2,2,4,3,3,3,0
31,56.0,5.469662232628359,0.0,1,1,5,2,5,2,2,2,3,2,3,0
32,23.0,5.547440506821195,0.0,1,1,0,3,3,5,4,1,3,4,3,1
33,43.92341907824223,3.0530573401732606,0.0,1,1,0,5,3,5,3,4,5,5,3,0
34,43.9097214811653,5.073547493489243,0.0,0,1,1,3,2,4,1,3,4,3,2,0
35,55.0,5.911338502628697,0.0,0,1,5,5,3,5,5,5,3,5,4,1
36,51.0,3.549042508926137,0.0,0,1,1,1,4,5,3,2,1,3,4,1
37,26.0,4.436278049505797,0.0,1,1,1,1,1,1,3,3,2,4,1,0
38,31.699850778085697,4.295378827948209,0.6931471805599453,1,0,4,2,4,5,1,1,2,2,2,0
39,26.0,5.135974892069394,0.0,1,1,5,1,2,3,5,5,3,5,2,0
40,49.0,3.292126286607793,0.0,0,1,4,4,4,5,5,5,5,5,3,1
41,29.0,4.860044935463755,0.0,1,0,2,1,4,4,5,5,3,5,4,0
42,22.0,3.865769620910684,0.0,0,0,1,3,4,3,1,2,3,3,4,0
43,60.0,5.185932235953246,0.0,0,1,1,1,2,4,4,4,3,4,4,1
44,37.0,5.567924568272286,0.0,0,1,3,3,3,5,5,5,5,5,3,1
45,22.0,2.2126603854660587,0.0,0,1,4,1,4,3,5,4,5,5,4,0
46,41.0,4.072269354570243,0.6931471805599453,1,1,3,3,3,4,4,4,4,4,5,1
47,57.0,5.342621292104561,0.0,1,1,4,4,2,4,4,4,2,4,3,1
48,60.0,4.998292770897869,0.0,0,1,4,4,5,5,5,5,3,5,5,1
49,59.0,2.157559320943788,0.0,0,1,3,3,1,2,2,4,3,4,1,0
